task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Initialize_argparse,2024-05-28T17:19:22,linguistic_analysis,b149f1bd-458d-48a7-85af-350cfea70fdc,0.003740549087524414,5.200247582004366e-08,9.407962057535904e-06,62.5,0.0,141.20075225830078,9.400563107596504e-08,0,1.942276705904078e-07,2.8823330166637283e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load_spacy_model,2024-05-28T17:19:25,linguistic_analysis,b149f1bd-458d-48a7-85af-350cfea70fdc,2.193556785583496,2.2380405949050257e-05,1.0204615383431524e-05,62.5,0.0,141.20075225830078,3.807290146748225e-05,0,8.597462122454544e-05,0.0001240475226920277,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
perform_spacy_analysis,2024-05-28T17:23:09,linguistic_analysis,b149f1bd-458d-48a7-85af-350cfea70fdc,224.5893714427948,0.0022927367244358946,1.0208658132053529e-05,62.5,0.0,141.20075225830078,0.0038990853933824434,0,0.008808830249379888,0.012707915642762331,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
