task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
initialize_argparse,2024-05-29T21:33:29,logistic_regression_classification,912f3cf2-a582-451a-9383-f3377e0f8662,0.004115104675292969,6.112036615419476e-08,9.144191055537853e-06,62.5,0.0,141.20075225830078,1.1335644457075331e-07,0,2.2541444388934907e-07,3.3877088846010237e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load_spacy_and_gensim_models,2024-05-29T21:33:49,logistic_regression_classification,912f3cf2-a582-451a-9383-f3377e0f8662,19.66775679588318,0.00020077450644082845,1.020842455024626e-05,62.5,0.0,141.20075225830078,0.0003414480967654122,0,0.0007713815900775217,0.0011128296868429337,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load_dataset,2024-05-29T21:33:49,logistic_regression_classification,912f3cf2-a582-451a-9383-f3377e0f8662,0.6997036933898926,7.130912117012908e-06,1.0203628717347175e-05,62.5,0.0,141.20075225830078,1.213142855299845e-05,0,2.7392965448780164e-05,3.952439400177867e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load_spacy_and_gensim_models_938f7963-73a6-486b-9cb5-896e94838dc6,2024-05-29T21:33:49,logistic_regression_classification,912f3cf2-a582-451a-9383-f3377e0f8662,0.01421356201171875,1.381521291685063e-07,9.908380978095153e-06,62.5,0.0,141.20075225830078,2.401032381587828e-07,0,5.256303869145698e-07,7.657336250734611e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
query_expansion,2024-05-29T21:33:50,logistic_regression_classification,912f3cf2-a582-451a-9383-f3377e0f8662,0.20359158515930176,2.0569799131183223e-06,1.0165688003873972e-05,62.5,0.0,141.20075225830078,3.509066171116285e-06,0,7.892123915894484e-06,1.1401190087010878e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
find_songs,2024-05-29T21:33:59,logistic_regression_classification,912f3cf2-a582-451a-9383-f3377e0f8662,9.832115650177002,0.000100363035616969,1.0208135353631167e-05,62.5,0.0,141.20075225830078,0.00017068689896000753,0,0.0003855937139332127,0.0005562806128932203,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_to_csv,2024-05-29T21:33:59,logistic_regression_classification,912f3cf2-a582-451a-9383-f3377e0f8662,0.0056192874908447266,5.515480927840511e-08,9.680547230851222e-06,62.5,0.0,141.20075225830078,9.732941786452353e-08,0,2.0837627268967783e-07,3.0570569055409294e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_plot,2024-05-29T21:34:00,logistic_regression_classification,912f3cf2-a582-451a-9383-f3377e0f8662,0.08893227577209473,9.020564565568223e-07,1.0161108749438316e-05,62.5,0.0,141.20075225830078,1.5391202436553647e-06,0,3.4606938356317955e-06,4.99981407928716e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
