task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
initialize_argparse,2024-05-29T21:41:16,logistic_regression_classification,d98e7270-d73e-426a-baa9-f2a95ec4ce4c,0.004687309265136719,5.3167239635030867e-08,8.910715490696415e-06,62.5,0.0,141.20075225830078,9.924587276246813e-08,0,1.9544334691090624e-07,2.946892196733744e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load_spacy_and_gensim_models,2024-05-29T21:41:32,logistic_regression_classification,d98e7270-d73e-426a-baa9-f2a95ec4ce4c,15.640106439590454,0.00015965561294715863,1.0208250829426171e-05,62.5,0.0,141.20075225830078,0.00027152330925067267,0,0.0006133973358465937,0.0008849206450972664,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load_dataset,2024-05-29T21:41:33,logistic_regression_classification,d98e7270-d73e-426a-baa9-f2a95ec4ce4c,0.6826403141021729,6.958343635380673e-06,1.020358945374124e-05,62.5,0.0,141.20075225830078,1.1837937765651267e-05,0,2.6729963637649244e-05,3.856790140330051e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load_spacy_and_gensim_models_6577c77e-3090-467a-a069-94bfa3dfbb6c,2024-05-29T21:41:33,logistic_regression_classification,d98e7270-d73e-426a-baa9-f2a95ec4ce4c,0.013044595718383789,1.2732039503081253e-07,9.948034540327436e-06,62.5,0.0,141.20075225830078,2.205951346291265e-07,0,4.851016086604432e-07,7.056967432896239e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
query_expansion,2024-05-29T21:41:33,logistic_regression_classification,d98e7270-d73e-426a-baa9-f2a95ec4ce4c,0.2042398452758789,2.071005209652941e-06,1.0177822473148514e-05,62.5,0.0,141.20075225830078,3.529377281665815e-06,0,7.949550595003551e-06,1.1478927876669366e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
find_songs,2024-05-29T21:41:42,logistic_regression_classification,d98e7270-d73e-426a-baa9-f2a95ec4ce4c,9.058483362197876,9.246200583110312e-05,1.0208170882439503e-05,62.5,0.0,141.20075225830078,0.00015724925531281368,0,0.00035523844453477977,0.0005124876998475933,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_to_csv,2024-05-29T21:41:42,logistic_regression_classification,d98e7270-d73e-426a-baa9-f2a95ec4ce4c,0.004864692687988281,4.6713485389712674e-08,9.628510424296694e-06,62.5,0.0,141.20075225830078,8.277595043182807e-08,0,1.7614214748384004e-07,2.589180979155597e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_plot,2024-05-29T21:41:42,logistic_regression_classification,d98e7270-d73e-426a-baa9-f2a95ec4ce4c,0.08251237869262695,8.379200843153288e-07,1.0161719216448814e-05,62.5,0.0,141.20075225830078,1.429741581281032e-06,0,3.214584840225158e-06,4.64432642150619e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
