,Song (A-Z)
0,Cassandra
1,Chiquitita
2,Gimme Gimme Gimme
3,I Am The City
4,Knowing Me Knowing You
5,Me And Bobby And Bobby's Brother
6,Money Money Money
7,My Mama Said
8,Our Last Summer
9,Take A Chance On Me
10,The Winner Takes It All
11,Waterloo
