task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_vectorized_data,2024-05-30T22:27:52,text_classification,24406dbd-c2ec-4d09-9524-4793bc6843d2,0.024426937103271484,2.6981941511498405e-07,1.0072489694314839e-05,62.5,0.0,141.20075225830078,4.634426699744331e-07,0,1.0320811420342579e-06,1.4955238120086909e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
train_logistic_regression_classifier,2024-05-30T22:27:52,text_classification,24406dbd-c2ec-4d09-9524-4793bc6843d2,0.0878760814666748,8.899222649620916e-07,1.0158820209891979e-05,62.5,0.0,141.20075225830078,1.5188174115286935e-06,0,3.4137406755917257e-06,4.932558087120418e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
save_logistic_regression_classifier,2024-05-30T22:27:52,text_classification,24406dbd-c2ec-4d09-9524-4793bc6843d2,0.0033054351806640625,2.968292421646139e-08,9.16851077198622e-06,62.5,0.0,141.20075225830078,5.443890889485681e-08,0,1.1008416649929158e-07,1.6452307539414797e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
create_logistic_regression_classification_report,2024-05-30T22:27:52,text_classification,24406dbd-c2ec-4d09-9524-4793bc6843d2,0.04046797752380371,4.0945434677053533e-07,1.0121144284467671e-05,62.5,0.0,141.20075225830078,7.00524283779992e-07,0,1.5689518592353122e-06,2.2694761430153046e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
save_logistic_regression_classification_report,2024-05-30T22:27:52,text_classification,24406dbd-c2ec-4d09-9524-4793bc6843d2,0.002145528793334961,1.9125590627538365e-08,8.869807747837978e-06,62.5,0.0,141.20075225830078,3.5750369230906265e-08,0,7.025673996849903e-08,1.0600710919940572e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
