task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_vectorized_data,2024-05-31T04:10:17,text_classification,8ba2ef8d-2846-4e5d-8ff0-644d80f0a2bd,0.020274639129638672,2.3148135695396263e-07,1.0034760127720129e-05,62.5,0.0,141.20075225830078,3.986515932612949e-07,0,8.84376469093695e-07,1.28302806235499e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
train_logistic_regression_classifier,2024-05-31T04:10:17,text_classification,8ba2ef8d-2846-4e5d-8ff0-644d80f0a2bd,0.08562159538269043,8.684898607601051e-07,1.0164975616478314e-05,62.5,0.0,141.20075225830078,1.4816804064644705e-06,0,3.332084632279475e-06,4.813765038743945e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
save_logistic_regression_classifier,2024-05-31T04:10:17,text_classification,8ba2ef8d-2846-4e5d-8ff0-644d80f0a2bd,0.0032052993774414062,2.7376216904365917e-08,8.77860673293957e-06,62.5,0.0,141.20075225830078,5.1893293857574277e-08,0,9.984443133816965e-08,1.5173772519574435e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
create_logistic_regression_classification_report,2024-05-31T04:10:17,text_classification,8ba2ef8d-2846-4e5d-8ff0-644d80f0a2bd,0.041086673736572266,4.1420863681376295e-07,1.0118740672144545e-05,62.5,0.0,141.20075225830078,7.087902890311349e-07,0,1.5870373823418054e-06,2.2958276713729395e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
save_logistic_regression_classification_report,2024-05-31T04:10:17,text_classification,8ba2ef8d-2846-4e5d-8ff0-644d80f0a2bd,0.0026395320892333984,1.9866454846269856e-08,8.469805959293458e-06,62.5,0.0,141.20075225830078,3.851950168609631e-08,0,7.159398392104771e-08,1.1011348560714444e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
