task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_vectorized_data,2024-05-30T20:16:05,text_classification,e764c3d4-9bc6-4f99-aa73-332857ed8219,0.02101302146911621,2.333244027421245e-07,1.004715900495774e-05,62.5,0.0,141.20075225830078,4.01544902059767e-07,0,8.916985810856204e-07,1.2932434831453873e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
train_logistic_regression_classifier,2024-05-30T20:16:05,text_classification,e764c3d4-9bc6-4f99-aa73-332857ed8219,0.10605311393737793,1.0762244807330401e-06,1.0168596031322327e-05,62.5,0.0,141.20075225830078,1.8354919221666124e-06,0,4.129680514802204e-06,5.965172436968816e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
save_logistic_regression_classifier,2024-05-30T20:16:05,text_classification,e764c3d4-9bc6-4f99-aa73-332857ed8219,0.0031800270080566406,2.7591949490140565e-08,8.971242179402677e-06,62.5,0.0,141.20075225830078,5.1433841387430635e-08,0,1.014996214053095e-07,1.5293346279274014e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
create_logistic_regression_classification_report,2024-05-30T20:16:05,text_classification,e764c3d4-9bc6-4f99-aa73-332857ed8219,0.04226255416870117,4.25349508056157e-07,1.0109622842624648e-05,62.5,0.0,141.20075225830078,7.285343276129829e-07,0,1.6290436748931825e-06,2.3575780025061637e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
save_logistic_regression_classification_report,2024-05-30T20:16:05,text_classification,e764c3d4-9bc6-4f99-aa73-332857ed8219,0.002358675003051758,1.970877150228519e-08,8.688730202556314e-06,62.5,0.0,141.20075225830078,3.754264778561064e-08,0,7.169684884047447e-08,1.0923949662608511e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
