task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
setup_the_classifier,2024-05-31T07:44:26,emotion_analysis,c20ec85b-c669-4a03-ae48-06470cda890d,5.103554964065552,5.2115133458417255e-05,1.0207822736835688e-05,62.5,0.0,141.20075225830078,8.863377074400584e-05,0,0.00020022395663584123,0.00028885772737984706,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
load_data,2024-05-31T07:44:26,emotion_analysis,c20ec85b-c669-4a03-ae48-06470cda890d,0.040228843688964844,4.0475183468075985e-07,1.0112838067378223e-05,62.5,0.0,141.20075225830078,6.927135917875475e-07,0,1.5506980117152244e-06,2.243411603502772e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
extract_emotion_labels,2024-05-31T08:28:44,emotion_analysis,c20ec85b-c669-4a03-ae48-06470cda890d,2658.5241854190826,0.027140024277443813,1.0208687825733166e-05,62.5,0.0,141.20075225830078,0.046154898918337295,0,0.10427368513338596,0.15042858405172327,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
count_emotion_labels,2024-05-31T08:28:44,emotion_analysis,c20ec85b-c669-4a03-ae48-06470cda890d,0.016886234283447266,1.6722289859424921e-07,9.994637375533713e-06,62.5,0.0,141.20075225830078,2.885775433614235e-07,0,6.38286176399272e-07,9.268637197745733e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
save_results,2024-05-31T08:28:44,emotion_analysis,c20ec85b-c669-4a03-ae48-06470cda890d,0.005338191986083984,5.264936897564354e-08,9.713105735298773e-06,62.5,0.0,141.20075225830078,9.253207180343059e-08,0,1.9928675434877086e-07,2.9181882615914034e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
plot_results,2024-05-31T08:28:46,emotion_analysis,c20ec85b-c669-4a03-ae48-06470cda890d,1.6826426982879639,1.7163870070169285e-05,1.0206307919169441e-05,62.5,0.0,141.20075225830078,2.919405698776495e-05,0,6.59398546516976e-05,9.513391163945562e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
