task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
initialize_argparse,2024-05-30T20:34:40,logistic_regression_classification,44b501e5-3b59-4575-b4c0-07053953b35c,0.005404233932495117,6.935351265372207e-08,8.859405358395477e-06,62.5,0.0,141.20075225830078,1.2956145736906263e-07,0,2.5484316220172334e-07,3.8440461957078596e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
load_spacy_and_gensim_models,2024-05-30T20:34:59,logistic_regression_classification,44b501e5-3b59-4575-b4c0-07053953b35c,18.302982330322266,0.00018683916929983707,1.020836695457949e-05,62.5,0.0,141.20075225830078,0.0003177507594227791,0,0.0007178397542722905,0.0010355905136950696,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
load_dataset,2024-05-30T20:34:59,logistic_regression_classification,44b501e5-3b59-4575-b4c0-07053953b35c,0.7925581932067871,8.07734312292116e-06,1.020366855904077e-05,62.5,0.0,141.20075225830078,1.3741623196336932e-05,0,3.102853899879395e-05,4.477016219513099e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
filters_the_dataframe,2024-05-30T20:34:59,logistic_regression_classification,44b501e5-3b59-4575-b4c0-07053953b35c,0.01659989356994629,1.6243619681556814e-07,9.954222284616982e-06,62.5,0.0,141.20075225830078,2.8130080964832837e-07,0,6.190317337541763e-07,9.003325434023962e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
query_expansion,2024-05-30T20:35:00,logistic_regression_classification,44b501e5-3b59-4575-b4c0-07053953b35c,0.4555928707122803,3.611914847921556e-06,1.0180376313698814e-05,62.5,0.0,141.20075225830078,6.154494153128704e-06,0,1.3865209246319006e-05,2.0019703399447655e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
find_songs,2024-05-30T20:35:10,logistic_regression_classification,44b501e5-3b59-4575-b4c0-07053953b35c,10.070521831512451,0.00010280246183589202,1.0208198900428532e-05,62.5,0.0,141.20075225830078,0.0001748344426353772,0,0.0003949671394456345,0.0005698015820810119,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
save_to_csv,2024-05-30T20:35:10,logistic_regression_classification,44b501e5-3b59-4575-b4c0-07053953b35c,0.005671024322509766,5.275381116594561e-08,9.571549993016842e-06,62.5,0.0,141.20075225830078,9.376555681233408e-08,0,1.9863215941322288e-07,2.9239771622544854e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
save_plot,2024-05-30T20:35:10,logistic_regression_classification,44b501e5-3b59-4575-b4c0-07053953b35c,0.09558510780334473,9.688352862232807e-07,1.0163166597089928e-05,62.5,0.0,141.20075225830078,1.6528119643529487e-06,0,3.717136079762996e-06,5.369948044115945e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.53533935546875,machine,N
