,task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
3,count_emotion_labels,2024-05-30T21:33:57,emotion_analysis,a837a714-a31f-4364-8595-fb7b8f33bc02,0.0121102333068847,1.1855104323915677e-07,9.911874872666112e-06,62.5,0.0,141.20075225830078,2.0574778318571685e-07,0,4.5134321237372266e-07,6.570909955594395e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.5353393554688,machine,N
4,save_results,2024-05-30T21:33:57,emotion_analysis,a837a714-a31f-4364-8595-fb7b8f33bc02,0.0031354427337646,2.8207346614711474e-08,9.141569056982752e-06,62.5,0.0,141.20075225830078,5.17401430311093e-08,0,1.0460427170289056e-07,1.5634441472012206e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.5353393554688,machine,N
5,plot_results,2024-05-30T21:33:59,emotion_analysis,a837a714-a31f-4364-8595-fb7b8f33bc02,1.6949732303619385,1.7288276247980072e-05,1.0206303586507807e-05,62.5,0.0,141.20075225830078,2.940569072961557e-05,0,6.641776506735586e-05,9.582345579697836e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.5353393554688,machine,N
0,initialize_argparse,2024-05-30T22:31:03,query_expansion,fc827e7b-55da-4ea2-bffa-8df481782422,0.0041956901550292,6.49960545241313e-10,1.13023719516908e-07,62.5,0.0,141.20075225830078,9.48293341530694e-08,0,1.7858285148122376e-07,2.734121856342932e-07,Canada,CAN,quebec,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,-71.2,46.8,376.5353393554688,machine,N
1,load_spacy_and_gensim_models,2024-05-30T22:31:16,query_expansion,fc827e7b-55da-4ea2-bffa-8df481782422,13.471170663833618,1.8119132145912157e-06,1.3450555149332592e-07,62.5,0.0,141.20075225830078,0.0002338681411412,0,0.0005283306658604,0.0007621988070016,Canada,CAN,quebec,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,-71.2,46.8,376.5353393554688,machine,N
2,load_dataset,2024-05-30T22:31:17,query_expansion,fc827e7b-55da-4ea2-bffa-8df481782422,0.6234190464019775,8.380349414783236e-08,1.3443863153752678e-07,62.5,0.0,141.20075225830078,1.082082589467365e-05,0,2.443192393222944e-05,3.525274982690309e-05,Canada,CAN,quebec,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,-71.2,46.8,376.5353393554688,machine,N
3,filters_the_dataframe,2024-05-30T22:31:17,query_expansion,fc827e7b-55da-4ea2-bffa-8df481782422,0.0117523670196533,1.521100626958749e-09,1.309300288141436e-07,62.5,0.0,141.20075225830078,2.0019296142787402e-07,0,4.396727196990386e-07,6.398656811269126e-07,Canada,CAN,quebec,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,-71.2,46.8,376.5353393554688,machine,N
4,query_expansion,2024-05-30T22:31:17,query_expansion,fc827e7b-55da-4ea2-bffa-8df481782422,0.1289827823638916,7.428963723976692e-09,1.3250381557646497e-07,62.5,0.0,141.20075225830078,9.68923171361304e-07,0,2.1561422247486995e-06,3.1250653961099493e-06,Canada,CAN,quebec,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,-71.2,46.8,376.5353393554688,machine,N
5,find_songs,2024-05-30T22:31:25,query_expansion,fc827e7b-55da-4ea2-bffa-8df481782422,7.456132411956787,1.002801291922986e-06,1.344999785403231e-07,62.5,0.0,141.20075225830078,0.0001294386593831,0,0.000292399396771,0.0004218380561542,Canada,CAN,quebec,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,-71.2,46.8,376.5353393554688,machine,N
6,save_to_csv,2024-05-30T22:31:25,query_expansion,fc827e7b-55da-4ea2-bffa-8df481782422,0.0051290988922119,6.638534055876527e-10,1.2787154968862982e-07,62.5,0.0,141.20075225830078,8.88440344068496e-08,0,1.9041231721526539e-07,2.792563516221692e-07,Canada,CAN,quebec,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,-71.2,46.8,376.5353393554688,machine,N
7,save_plot,2024-05-30T22:31:25,query_expansion,fc827e7b-55da-4ea2-bffa-8df481782422,0.07143235206604,9.549937745936878e-09,1.339424043803324e-07,62.5,0.0,141.20075225830078,1.236283116870442e-06,0,2.780990502128638e-06,4.017273618999026e-06,Canada,CAN,quebec,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,-71.2,46.8,376.5353393554688,machine,N
0,load_vectorized_data,2024-05-30T22:27:52,text_classification,24406dbd-c2ec-4d09-9524-4793bc6843d2,0.0244269371032714,2.6981941511498405e-07,1.007248969431484e-05,62.5,0.0,141.20075225830078,4.634426699744331e-07,0,1.032081142034258e-06,1.4955238120086909e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.5353393554688,machine,N
1,train_logistic_regression_classifier,2024-05-30T22:27:52,text_classification,24406dbd-c2ec-4d09-9524-4793bc6843d2,0.0878760814666748,8.899222649620916e-07,1.015882020989198e-05,62.5,0.0,141.20075225830078,1.5188174115286935e-06,0,3.4137406755917257e-06,4.932558087120418e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.5353393554688,machine,N
2,save_logistic_regression_classifier,2024-05-30T22:27:52,text_classification,24406dbd-c2ec-4d09-9524-4793bc6843d2,0.003305435180664,2.968292421646139e-08,9.16851077198622e-06,62.5,0.0,141.20075225830078,5.443890889485682e-08,0,1.1008416649929159e-07,1.6452307539414797e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.5353393554688,machine,N
3,create_logistic_regression_classification_report,2024-05-30T22:27:52,text_classification,24406dbd-c2ec-4d09-9524-4793bc6843d2,0.0404679775238037,4.0945434677053533e-07,1.0121144284467673e-05,62.5,0.0,141.20075225830078,7.00524283779992e-07,0,1.5689518592353122e-06,2.2694761430153046e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.5353393554688,machine,N
4,save_logistic_regression_classification_report,2024-05-30T22:27:52,text_classification,24406dbd-c2ec-4d09-9524-4793bc6843d2,0.0021455287933349,1.9125590627538365e-08,8.869807747837978e-06,62.5,0.0,141.20075225830078,3.5750369230906265e-08,0,7.025673996849903e-08,1.0600710919940573e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.5353393554688,machine,N
0,initialize_argparse,2024-05-30T20:07:56,linguistic_analysis,ca380c48-8277-424a-a343-a4bea151ca1b,0.0061159133911132,6.687784333364601e-08,8.641589827655107e-06,62.5,0.0,141.20075225830078,1.2760361035664878e-07,0,2.4307915596182283e-07,3.706827663184716e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.5353393554688,machine,N
1,load_spacy_model,2024-05-30T20:07:58,linguistic_analysis,ca380c48-8277-424a-a343-a4bea151ca1b,2.245004892349243,2.2907387953408327e-05,1.020615279659336e-05,62.5,0.0,141.20075225830078,3.896373841497633e-05,0,8.800467911214581e-05,0.0001269684175271,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.5353393554688,machine,N
2,perform_spacy_analysis,2024-05-30T20:11:52,linguistic_analysis,ca380c48-8277-424a-a343-a4bea151ca1b,234.1628794670105,0.0023904774308822,1.020866472835783e-05,62.5,0.0,141.20075225830078,0.0040653034713533,0,0.0091843580418117,0.013249661513165,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.5557,55.4308,376.5353393554688,machine,N
