NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
1843,1094,554,473,38,0,5
2142,1003,714,349,27,0,3
1432,1242,789,618,17,0,8
1637,1157,669,574,26,0,6
1297,1381,473,343,18,0,3
1452,1208,543,503,14,0,5
1544,1424,507,477,15,0,5
