Filename,NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
0101.a5.txt,0.2315,0.1231,0.0866,0.0465,5,1,1
0102.a5.txt,0.1885,0.1193,0.1011,0.031,7,3,5
0103.a5.txt,0.208,0.1233,0.0693,0.0438,5,3,3
0104.a5.txt,0.2176,0.1067,0.0715,0.0425,5,3,6
0105.a5.txt,0.1691,0.1141,0.0612,0.0643,2,4,3
0106.a5.txt,0.2194,0.1065,0.0937,0.0724,2,0,0
0107.a5.txt,0.2171,0.1325,0.0846,0.0592,3,0,0
0108.a5.txt,0.237,0.1198,0.0863,0.037,7,0,5
0111.a5.txt,0.1906,0.1193,0.0777,0.0351,7,6,4
0112.a5.txt,0.2467,0.1228,0.0731,0.066,3,0,2
0115.a5.txt,0.1534,0.1245,0.0867,0.0558,11,2,2
0119.a5.txt,0.209,0.1234,0.081,0.0264,7,3,3
0121.a5.txt,0.1793,0.1188,0.0713,0.0444,6,0,6
0122.a5.txt,0.2063,0.1194,0.0848,0.0429,6,0,1
0125.a5.txt,0.2399,0.1086,0.0941,0.0517,1,0,2
0128.a5.txt,0.2138,0.1245,0.0915,0.0532,1,6,0
0130.a5.txt,0.2027,0.1125,0.0902,0.0349,14,2,1
0134.a5.txt,0.1973,0.1111,0.0791,0.0533,4,1,3
0137.a5.txt,0.1996,0.1179,0.0641,0.0507,2,2,3
0139.a5.txt,0.1523,0.1358,0.0596,0.0358,9,3,5
0140.a5.txt,0.1945,0.1157,0.0716,0.0317,6,3,2
0149.a5.txt,0.2833,0.136,0.0907,0.0401,1,0,2
0157.a5.txt,0.197,0.133,0.072,0.067,3,0,0
0158.a5.txt,0.1786,0.1359,0.0843,0.0615,7,0,3
0159.a5.txt,0.2379,0.1194,0.1086,0.0375,0,0,1
0161.a5.txt,0.2468,0.0993,0.1093,0.0291,3,0,3
0163.a5.txt,0.2651,0.1076,0.1006,0.0499,1,0,0
0165.a5.txt,0.2279,0.1096,0.0912,0.032,5,0,4
0171.a5.txt,0.1785,0.1069,0.0592,0.0436,15,2,2
0178.a5.txt,0.1715,0.1126,0.0881,0.0521,9,5,3
0182.a5.txt,0.2536,0.1205,0.0827,0.0477,7,0,2
0185.a5.txt,0.2031,0.1178,0.0814,0.0249,4,3,3
0186.a5.txt,0.2187,0.108,0.0989,0.0445,6,0,0
0187.a5.txt,0.251,0.1215,0.0847,0.0398,5,1,5
0188.a5.txt,0.1776,0.1201,0.0839,0.0521,6,1,2
0192.a5.txt,0.1833,0.1225,0.0702,0.0486,9,2,2
0193.a5.txt,0.2454,0.1208,0.0937,0.0444,1,0,1
0197.a5.txt,0.1809,0.1072,0.0452,0.0403,7,1,5
0198.a5.txt,0.235,0.1111,0.0887,0.0406,2,0,0
0199.a5.txt,0.2037,0.111,0.083,0.0431,6,5,1
0200.a5.txt,0.1693,0.1325,0.0797,0.0488,5,3,4
0206.a5.txt,0.1689,0.1098,0.0816,0.0413,5,1,5
0214.a5.txt,0.1891,0.1264,0.074,0.036,9,4,2
0215.a5.txt,0.197,0.1069,0.0627,0.0318,9,2,3
0219.a5.txt,0.2254,0.1073,0.0974,0.0659,3,0,3
0222.a5.txt,0.1964,0.1277,0.0773,0.0461,0,1,1
0223.a5.txt,0.1838,0.1196,0.0783,0.0449,6,2,6
0227.a5.txt,0.1901,0.1083,0.0895,0.0409,12,2,1
0234.a5.txt,0.1831,0.1063,0.0591,0.0384,10,6,4
0238.a5.txt,0.2086,0.1259,0.0734,0.0361,3,1,0
1003.a5.txt,0.2505,0.1184,0.0814,0.0275,4,0,0
1005.a5.txt,0.1978,0.11,0.0639,0.0392,3,1,4
1006.a5.txt,0.1886,0.1176,0.0763,0.0477,9,4,2
1008.a5.txt,0.2179,0.1157,0.0995,0.0488,6,0,1
1010.a5.txt,0.2489,0.0979,0.0989,0.034,5,0,8
1012.a5.txt,0.2221,0.1153,0.0834,0.0366,3,0,0
1013.a5.txt,0.1881,0.1263,0.0754,0.0333,3,3,2
1014.a5.txt,0.2176,0.119,0.0909,0.0416,6,3,3
1018.a5.txt,0.2278,0.1071,0.0975,0.0309,5,1,0
1021.a5.txt,0.2011,0.1255,0.0728,0.0442,4,0,5
1022.a5.txt,0.2632,0.1281,0.1172,0.0506,1,0,0
1023.a5.txt,0.1947,0.1166,0.079,0.0514,7,3,3
1032.a5.txt,0.2419,0.1302,0.0744,0.0642,0,0,1
1034.a5.txt,0.1998,0.1112,0.0817,0.042,4,3,6
1036.a5.txt,0.1624,0.1108,0.0774,0.0364,5,1,3
1041.a5.txt,0.199,0.1052,0.0865,0.0531,11,2,6
1043.a5.txt,0.1683,0.1275,0.0717,0.0618,8,1,0
1048.a5.txt,0.237,0.1108,0.0742,0.0452,3,0,6
1050.a5.txt,0.1808,0.1243,0.0859,0.0542,6,4,1
1055.a5.txt,0.2055,0.1216,0.1195,0.0524,1,2,1
1057.a5.txt,0.1543,0.1359,0.0693,0.0388,6,2,2
1061.a5.txt,0.1733,0.1275,0.0697,0.0279,15,2,3
1062.a5.txt,0.175,0.1022,0.0908,0.053,7,2,6
1064.a5.txt,0.2455,0.1391,0.0682,0.0655,2,0,2
1065.a5.txt,0.2115,0.1106,0.0827,0.0452,10,3,4
1067.a5.txt,0.1983,0.1205,0.0709,0.0389,8,4,4
1068.a5.txt,0.2195,0.1463,0.0813,0.0569,2,2,1
1070.a5.txt,0.1535,0.1359,0.0799,0.0373,11,2,2
1072.a5.txt,0.1601,0.1222,0.0628,0.0534,5,3,8
1074.a5.txt,0.2091,0.1174,0.0927,0.0582,3,1,1
1081.a5.txt,0.223,0.1172,0.0985,0.0456,2,0,4
1088.a5.txt,0.1544,0.1268,0.0964,0.0364,7,0,0
1094.a5.txt,0.1616,0.1469,0.0597,0.0274,9,1,2
1095.a5.txt,0.1652,0.1156,0.0904,0.0466,7,1,1
1099.a5.txt,0.1834,0.1322,0.0727,0.04,11,1,0
1100.a5.txt,0.1742,0.1234,0.0621,0.0358,4,1,4
1102.a5.txt,0.2285,0.1118,0.0758,0.0349,3,1,2
1104.a5.txt,0.1929,0.1152,0.0679,0.0522,9,5,6
