NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
1799,1280,651,397,10,0,5
1245,1485,517,371,11,0,4
1677,1263,732,435,4,0,4
1566,1275,606,808,6,0,2
1588,1227,822,473,7,0,5
1708,1471,735,486,5,0,2
1649,1493,710,449,8,0,2
1915,1309,755,447,3,0,3
2008,1295,687,376,3,0,1
1628,1399,772,446,4,0,5
1637,1355,624,448,1,0,3
2114,958,808,585,3,0,3
1741,1525,528,408,2,0,4
1432,1558,619,378,5,0,4
1625,1269,704,535,9,0,3
1955,1233,721,478,7,0,5
1359,1268,588,719,6,0,5
2089,1260,595,443,3,0,2
1964,1199,577,599,8,0,3
1569,1196,926,418,4,0,0
1858,1122,796,639,8,0,2
1630,1364,760,385,9,1,3
2007,1122,611,449,5,0,5
1598,954,876,348,6,0,2
1594,1180,620,499,7,0,4
1627,1380,810,387,6,0,5
1427,1454,584,516,3,0,4
1604,1239,826,656,7,0,1
1582,1245,770,643,6,0,1
1793,1226,726,533,7,0,4
1883,1251,846,327,4,0,4
2294,1247,501,490,7,0,2
1832,1252,773,580,14,0,6
1632,1415,798,387,3,0,1
1672,1196,720,407,7,0,3
1772,1225,809,464,7,0,2
1858,1160,687,619,10,0,3
1266,1635,857,598,6,0,4
1972,1213,806,512,4,0,3
1989,1191,1034,247,10,0,2
1880,1329,814,395,8,0,1
1722,1404,611,391,2,0,5
1562,1512,600,375,4,0,6
1963,1193,716,542,6,0,2
1559,1230,560,402,4,1,5
2046,1376,512,414,2,0,2
1915,1364,596,334,6,0,6
1908,1345,655,448,7,0,3
1962,1388,467,395,5,0,4
1459,1413,684,492,5,0,2
1648,1439,566,480,6,0,4
1298,1320,492,414,4,0,5
1862,1082,830,465,8,0,3
1671,1481,628,735,5,0,1
1606,1694,423,224,2,0,2
1714,1255,621,432,7,0,1
1693,1284,642,564,11,0,3
1366,1240,756,504,7,0,6
1228,1679,614,691,7,0,4
2002,1235,588,564,3,1,3
1404,1478,621,683,7,0,6
2050,1125,696,372,11,0,4
1668,1500,546,338,8,0,4
1473,1389,737,254,5,1,1
1422,1385,895,723,7,0,1
1853,1346,667,472,3,0,3
1612,1624,541,459,5,0,4
1501,1280,761,420,8,0,5
2107,1358,496,393,8,0,3
1893,1146,872,610,9,0,2
1727,1377,776,350,5,0,4
1689,1365,826,527,3,0,1
1660,1468,532,351,5,0,1
2222,1239,729,346,4,0,1
1800,1135,558,450,7,0,4
2265,987,942,538,8,0,1
1837,1131,806,627,6,2,3
1990,1235,663,442,7,0,2
1935,936,854,536,11,0,3
2005,1106,899,415,8,0,1
1657,1275,788,359,10,0,0
1615,1485,665,451,7,0,1
1752,1206,867,624,3,0,1
1702,1371,727,488,8,0,2
1832,1130,916,504,8,0,0
1692,1315,619,542,7,0,2
2013,979,1001,566,12,1,2
1350,1487,789,641,7,1,1
1757,1300,780,668,9,0,2
1835,1363,742,594,10,0,2
1528,1185,864,543,8,0,1
1627,1494,604,645,4,0,2
1540,1459,910,560,7,0,1
1748,1359,888,458,4,0,2
1563,1291,702,532,9,0,1
1770,1207,724,506,10,1,1
1483,1340,574,459,7,0,2
1877,1051,1145,378,4,0,0
1691,1368,656,434,4,0,3
1810,1207,712,504,8,0,2
1532,1375,825,462,9,0,1
2041,1147,894,350,5,0,2
1727,1186,722,515,5,2,0
2448,1100,770,275,2,0,5
1430,1443,447,779,5,0,1
1879,1106,881,489,4,0,1
1604,1205,860,524,7,0,1
1833,1240,698,344,7,1,1
2125,1127,1024,653,8,0,4
1784,1259,693,294,8,0,3
1472,1472,523,389,6,0,1
1696,1326,781,462,7,0,3
1318,1318,635,659,8,1,1
1780,1335,798,681,9,0,0
1675,1330,678,588,9,0,1
1659,1325,746,290,8,0,2
1608,1253,697,485,6,0,2
1578,1233,900,478,7,1,3
1734,1168,636,555,9,0,2
1866,1126,785,387,9,0,2
1632,1286,692,605,7,0,1
1857,1291,672,640,7,0,2
2065,1104,744,516,6,0,2
1824,1255,569,598,7,0,3
1669,1321,564,528,7,1,3
1535,1429,927,593,4,0,1
2132,1100,943,449,8,0,2
1914,1201,781,342,10,0,1
1640,1283,810,484,7,0,1
1804,1190,687,564,10,1,3
1930,1237,726,499,6,0,0
2080,1217,876,523,10,0,1
1711,1424,540,459,6,0,1
1581,1429,632,445,5,0,1
1706,1528,569,498,3,0,1
1672,1395,567,407,9,0,2
1593,1461,659,587,9,0,1
1946,1268,753,390,14,1,3
1606,1457,555,486,7,0,2
1846,1143,758,549,10,0,2
1930,1228,628,499,8,0,1
1725,1348,556,556,10,0,3
1744,1372,453,535,3,0,1
1356,1389,744,478,6,0,0
2059,1159,740,493,6,0,2
2025,1159,731,607,8,0,3
1620,1470,509,405,7,0,2
1682,1200,751,314,9,0,0
1859,1229,795,345,7,1,1
1678,1253,862,506,9,0,1
1968,1209,857,388,8,0,3
2169,1035,646,348,9,0,5
1711,1289,831,253,5,0,1
1728,1160,691,420,9,0,0
1511,1424,783,663,7,0,0
1892,1277,687,627,7,0,1
1732,1081,1148,469,10,0,3
1842,1216,744,472,7,0,3
1541,1192,855,416,8,1,3
1429,1417,709,484,7,0,1
1642,1370,617,407,8,0,0
1278,1437,690,498,11,0,2
1885,1243,820,505,9,0,2
1541,1316,689,514,9,0,1
1588,1564,664,557,8,0,1
1277,1303,691,505,8,0,0
1888,1316,723,539,5,0,5
1676,1466,695,430,6,0,2
1749,1277,644,547,10,0,1
1633,1331,671,515,4,0,1
1658,1447,560,539,3,0,0
2108,1304,833,382,5,0,0
1641,1389,587,647,8,0,0
1738,1352,705,451,4,0,0
1704,1289,775,472,18,1,7
1432,1499,620,665,6,0,0
1998,1108,890,564,6,0,4
1552,1424,502,735,4,0,4
1482,1295,703,637,8,1,0
1634,1460,591,568,4,0,2
1532,1553,511,638,7,0,0
1574,1512,483,607,6,0,0
1570,1559,693,612,5,0,1
1757,1249,652,652,7,0,0
1745,1258,860,398,5,0,1
