Filename,NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
0106.b7.txt,0.1921,0.1371,0.091,0.0562,0,1,0
0107.b7.txt,0.176,0.1165,0.1117,0.0583,0,1,6
0137.b7.txt,0.2319,0.1061,0.0886,0.0383,4,1,2
0151.b7.txt,0.2062,0.1153,0.0977,0.0475,2,0,2
0157.b7.txt,0.1414,0.1361,0.0982,0.0654,5,1,1
0158.b7.txt,0.201,0.1344,0.0807,0.0538,1,1,0
0178.b7.txt,0.2202,0.1137,0.1047,0.0797,4,0,3
0185.b7.txt,0.2039,0.1298,0.0923,0.0695,1,0,0
0186.b7.txt,0.1882,0.1203,0.081,0.0706,0,0,1
0198.b7.txt,0.2171,0.1158,0.0868,0.0539,0,0,2
0219.b7.txt,0.2308,0.1067,0.1117,0.0645,1,1,0
0223.b7.txt,0.2156,0.1133,0.0938,0.0487,0,0,1
0224.b7.txt,0.2318,0.1136,0.1045,0.0348,1,1,1
0238.b7.txt,0.1874,0.1317,0.0795,0.0617,1,0,2
0318.b7.txt,0.2354,0.1034,0.093,0.0585,1,0,0
