Filename,NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
0101.a5.txt,2315.41,1230.63,866.0,464.9,5,1,1
0102.a5.txt,1885.25,1193.08,1010.93,309.65,7,3,5
0103.a5.txt,2079.51,1233.44,693.17,438.33,5,3,3
0104.a5.txt,2176.17,1067.36,715.03,424.87,5,3,6
0105.a5.txt,1690.87,1141.08,612.03,643.15,2,4,3
0106.a5.txt,2193.82,1064.96,937.17,724.17,2,0,0
0107.a5.txt,2171.05,1325.19,845.86,592.11,3,0,0
0108.a5.txt,2370.04,1198.24,863.44,370.04,7,0,5
0111.a5.txt,1906.28,1192.76,777.42,351.44,7,6,4
0112.a5.txt,2467.01,1228.43,730.96,659.9,3,0,2
0115.a5.txt,1533.86,1245.02,866.53,557.77,11,2,2
0119.a5.txt,2090.4,1233.52,809.79,263.65,7,3,3
0121.a5.txt,1793.1,1187.74,712.64,444.44,6,0,6
0122.a5.txt,2062.83,1193.72,848.17,429.32,6,0,1
0125.a5.txt,2399.17,1085.83,941.05,517.06,1,0,2
0128.a5.txt,2138.3,1244.68,914.89,531.91,1,6,0
0130.a5.txt,2027.16,1125.12,902.04,349.18,14,2,1
0134.a5.txt,1973.33,1111.11,791.11,533.33,4,1,3
0137.a5.txt,1995.86,1178.9,641.16,506.72,2,2,3
0139.a5.txt,1522.94,1357.8,596.33,357.8,9,3,5
0140.a5.txt,1944.73,1156.6,716.48,317.3,6,3,2
0149.a5.txt,2833.48,1360.07,906.71,401.05,1,0,2
0157.a5.txt,1970.0,1330.0,720.0,670.0,3,0,0
0158.a5.txt,1785.71,1359.13,843.25,615.08,7,0,3
0159.a5.txt,2379.07,1194.47,1085.88,375.12,0,0,1
0161.a5.txt,2468.12,992.71,1092.9,291.44,3,0,3
0163.a5.txt,2650.92,1076.12,1006.12,498.69,1,0,0
0165.a5.txt,2279.34,1096.02,911.74,320.08,5,0,4
0171.a5.txt,1784.54,1069.08,592.11,435.86,15,2,2
0178.a5.txt,1715.16,1125.57,880.55,520.67,9,5,3
0182.a5.txt,2535.97,1205.04,827.34,476.62,7,0,2
0185.a5.txt,2030.65,1178.16,814.18,249.04,4,3,3
0186.a5.txt,2186.93,1079.85,989.11,444.65,6,0,0
0187.a5.txt,2509.96,1215.14,846.61,398.41,5,1,5
0188.a5.txt,1775.62,1201.41,839.22,521.2,6,1,2
0192.a5.txt,1833.49,1225.44,701.59,486.44,9,2,2
0193.a5.txt,2454.11,1207.73,937.2,444.44,1,0,1
0197.a5.txt,1809.24,1071.78,452.31,403.15,7,1,5
0198.a5.txt,2350.43,1111.11,886.75,405.98,2,0,0
0199.a5.txt,2036.64,1109.91,829.74,431.03,6,5,1
0200.a5.txt,1693.23,1324.7,796.81,488.05,5,3,4
0206.a5.txt,1688.56,1097.56,816.14,412.76,5,1,5
0214.a5.txt,1891.06,1264.13,739.98,359.71,9,4,2
0215.a5.txt,1969.96,1068.9,627.21,318.02,9,2,3
0219.a5.txt,2253.94,1072.83,974.41,659.45,3,0,3
0222.a5.txt,1963.52,1276.82,772.53,461.37,0,1,1
0223.a5.txt,1838.17,1196.13,782.76,448.55,6,2,6
0227.a5.txt,1901.11,1082.69,895.14,409.21,12,2,1
0234.a5.txt,1830.71,1062.99,590.55,383.86,10,6,4
0238.a5.txt,2086.25,1258.74,734.27,361.31,3,1,0
1003.a5.txt,2505.29,1183.93,813.95,274.84,4,0,0
1005.a5.txt,1977.83,1099.74,639.39,392.16,3,1,4
1006.a5.txt,1885.59,1175.85,762.71,476.69,9,4,2
1008.a5.txt,2179.02,1157.32,994.58,488.25,6,0,1
1010.a5.txt,2489.36,978.72,989.36,340.43,5,0,8
1012.a5.txt,2221.18,1152.76,834.11,365.51,3,0,0
1013.a5.txt,1880.51,1263.47,754.16,333.01,3,3,2
1014.a5.txt,2176.02,1189.56,909.09,415.86,6,3,3
1018.a5.txt,2277.99,1071.43,974.9,308.88,5,1,0
1021.a5.txt,2011.41,1255.35,727.53,442.23,4,0,5
1022.a5.txt,2631.58,1281.03,1171.8,506.45,1,0,0
1023.a5.txt,1946.74,1166.21,789.72,514.23,7,3,3
1032.a5.txt,2418.6,1302.33,744.19,641.86,0,0,1
1034.a5.txt,1997.73,1112.37,817.25,419.98,4,3,6
1036.a5.txt,1623.67,1107.74,773.9,364.19,5,1,3
1041.a5.txt,1989.58,1052.08,864.58,531.25,11,2,6
1043.a5.txt,1683.27,1274.9,717.13,617.53,8,1,0
1048.a5.txt,2369.99,1108.27,741.69,451.83,3,0,6
1050.a5.txt,1807.91,1242.94,858.76,542.37,6,4,1
1055.a5.txt,2054.51,1215.93,1194.97,524.11,1,2,1
1057.a5.txt,1543.44,1358.6,693.16,388.17,6,2,2
1061.a5.txt,1733.07,1274.9,697.21,278.88,15,2,3
