Filename,NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
0102.a4.txt,1777.54,1264.99,643.4,392.58,10,0,5
0103.a4.txt,1210.19,1443.74,502.48,360.93,11,0,4
0104.a4.txt,1661.41,1251.31,725.55,431.13,4,0,4
0105.a4.txt,1559.75,1270.44,603.77,805.03,6,0,2
0106.a4.txt,1584.27,1224.72,820.22,471.91,7,0,5
0107.a4.txt,1710.08,1472.25,736.13,486.98,5,0,2
0108.a4.txt,1639.0,1483.4,705.39,446.06,8,0,2
0109.a4.txt,1900.21,1305.73,753.72,445.86,3,0,3
0110.a4.txt,1992.29,1285.35,681.23,372.75,3,0,1
0111.a4.txt,1605.23,1379.31,761.0,439.95,4,0,5
0112.a4.txt,1627.63,1346.6,620.61,444.96,1,0,3
0115.a4.txt,2103.96,952.97,804.46,581.68,3,0,3
0119.a4.txt,1738.61,1522.78,527.58,407.67,2,0,4
0120.a4.txt,1420.45,1545.45,613.64,375.0,5,0,4
0121.a4.txt,1620.55,1264.82,701.58,533.6,9,0,3
0122.a4.txt,1935.22,1212.62,714.29,473.42,7,0,5
0127.a4.txt,1347.15,1256.48,582.9,712.44,6,0,5
0128.a4.txt,2062.21,1244.24,587.56,437.79,3,0,2
0130.a4.txt,1926.01,1175.19,554.95,587.6,8,0,3
0134.a4.txt,1560.04,1189.67,920.31,415.26,4,0,0
0135.a4.txt,1844.31,1113.77,778.44,634.73,8,0,2
0136.a4.txt,1622.61,1358.25,756.61,382.86,9,1,3
0137.a4.txt,1987.65,1111.11,604.94,444.44,5,0,5
0139.a4.txt,1581.63,943.88,867.35,344.39,6,0,2
0140.a4.txt,1593.67,1180.05,608.27,498.78,7,0,4
0149.a4.txt,1622.19,1376.4,807.58,386.24,6,0,5
0156.a4.txt,1418.92,1445.95,581.08,513.51,3,0,4
0157.a4.txt,1592.28,1230.4,820.27,651.39,7,0,1
0158.a4.txt,1567.4,1233.02,762.8,637.41,6,0,1
0159.a4.txt,1789.35,1223.1,724.8,532.28,7,0,4
0161.a4.txt,1855.56,1233.33,833.33,322.22,4,0,4
0165.a4.txt,2235.55,1210.47,490.73,479.83,7,0,2
0168.a4.txt,1798.18,1229.14,758.73,569.04,14,0,6
0169.a4.txt,1628.47,1411.34,796.14,386.01,3,0,1
0171.a4.txt,1655.17,1183.91,712.64,402.3,7,0,3
0175.a4.txt,1769.6,1223.28,807.6,463.18,7,0,2
0176.a4.txt,1853.93,1157.3,685.39,617.98,10,0,3
0177.a4.txt,1259.92,1626.98,853.17,595.24,6,0,4
0178.a4.txt,1960.41,1206.41,801.13,508.95,4,0,3
0179.a4.txt,1966.67,1177.78,1022.22,244.44,10,0,2
0185.a4.txt,1873.51,1324.58,811.46,393.79,8,0,1
0186.a4.txt,1713.24,1397.33,607.53,388.82,2,0,5
0187.a4.txt,1535.63,1486.49,589.68,368.55,4,0,6
0188.a4.txt,1929.64,1172.71,703.62,533.05,6,0,2
0190.a4.txt,1538.46,1213.94,552.88,396.63,4,1,5
0192.a4.txt,2041.31,1373.03,510.33,413.12,2,0,2
0193.a4.txt,1853.15,1311.19,550.7,323.43,6,0,6
0194.a4.txt,1888.51,1331.06,648.46,443.69,7,0,3
0195.a4.txt,1913.65,1353.56,455.08,385.06,5,0,4
0196.a4.txt,1440.14,1395.14,675.07,486.05,5,0,2
0197.a4.txt,1632.16,1425.09,560.29,475.03,6,0,4
0198.a4.txt,1288.89,1311.11,488.89,411.11,4,0,5
0199.a4.txt,1863.98,1083.12,831.23,465.99,8,0,3
0200.a4.txt,1654.93,1467.14,622.07,727.7,5,0,1
0202.a4.txt,1586.72,1672.82,405.9,221.4,2,0,2
0204.a4.txt,1697.86,1243.32,614.97,427.81,7,0,1
0205.a4.txt,1684.41,1277.83,638.92,561.47,11,0,3
0206.a4.txt,1347.99,1223.71,745.7,497.13,7,0,6
0208.a4.txt,1213.14,1659.65,606.57,682.39,7,0,4
0213.a4.txt,1985.73,1224.73,582.64,558.86,3,1,3
0214.a4.txt,1400.25,1474.6,619.58,681.54,7,0,6
0215.a4.txt,2016.89,1106.94,684.8,365.85,11,0,4
