NOUN,VERB,ADJ,ADV,PERSON,LOC,ORG
1850,1382,867,597,1,0,0
1824,1383,870,560,0,0,0
2307,1066,1153,526,1,0,2
2259,1258,937,680,0,1,0
2170,1244,812,457,6,0,2
1869,949,949,336,0,1,5
1985,1176,824,603,0,0,0
1543,1299,825,365,3,1,2
2011,1161,1103,506,1,1,3
2655,1188,1340,329,0,0,1
2369,1104,1373,404,0,0,2
2041,1128,798,596,0,0,2
1867,1234,633,742,0,1,2
2603,1124,1053,427,0,0,2
2113,1310,690,394,0,0,1
1540,1311,1021,716,0,0,0
1942,1236,787,642,0,1,0
2351,1123,872,608,1,0,2
2534,1295,1088,523,0,0,3
1851,1429,763,698,0,0,1
2401,1101,994,673,0,0,0
1776,1313,746,721,1,0,0
1817,1290,1053,730,0,0,0
2340,1177,654,596,0,0,1
2088,1207,1179,639,0,0,1
2308,1234,865,609,0,0,0
1492,1478,962,418,0,0,0
2102,1253,660,768,1,0,0
1920,1221,796,604,0,0,0
1792,1267,849,485,1,1,2
1621,1717,632,481,0,0,0
2168,1283,560,664,0,0,0
2253,1054,1041,567,2,1,7
2295,1027,1119,582,1,0,1
1301,1446,602,542,0,0,3
1877,1471,931,556,0,0,0
2346,1088,1245,472,0,0,2
1624,1250,675,589,0,0,1
1727,1495,798,334,0,0,2
2132,1272,1119,660,1,0,2
2326,999,828,368,2,1,0
1879,1440,727,508,0,0,0
2517,1247,711,513,0,0,1
2558,899,930,496,1,0,3
2213,1483,730,521,2,0,1
1992,1388,835,450,0,0,4
2595,1320,789,425,0,0,0
2516,1026,1096,520,2,0,1
1801,1482,651,623,0,0,1
2490,1225,711,303,1,1,2
1961,1326,987,790,0,0,0
1634,1193,895,511,0,1,6
2089,1221,1039,479,0,0,1
2000,1438,641,497,0,0,0
1927,1126,1001,601,1,1,3
2122,1167,902,438,0,0,0
2552,1284,1090,582,1,0,0
2092,1213,809,391,1,1,0
2005,1201,778,573,0,1,1
2132,1129,939,698,1,0,0
1915,1477,780,547,0,0,0
2408,1248,701,408,0,0,0
2006,1490,599,474,0,0,0
2440,1234,771,463,0,0,0
2541,1117,1161,460,0,0,1
2323,1119,1048,439,0,0,1
1755,1294,745,887,0,0,0
1869,1338,554,415,0,0,0
2199,1189,1120,546,0,0,0
2379,1500,667,500,1,0,2
2168,1303,891,452,0,0,1
2265,1266,918,465,2,0,0
2320,991,896,543,1,0,4
2567,1164,940,477,0,0,2
1733,1568,743,413,0,0,0
2209,1020,1020,804,2,0,1
1925,1306,673,538,0,0,1
1715,1632,871,595,0,0,0
1825,1098,861,549,4,0,3
1847,1417,639,583,0,0,1
2161,1431,641,477,0,0,0
1645,1573,592,534,0,0,0
2000,1107,960,680,0,0,0
2062,1271,837,806,0,0,0
2324,1049,956,505,4,1,1
2339,1044,1064,502,0,0,1
2068,1411,781,630,1,0,1
2102,1336,601,450,1,0,2
2127,1090,686,834,1,0,0
2189,1089,1044,584,0,1,1
1416,1516,702,664,0,0,0
2343,1363,781,735,0,0,2
1813,1309,935,1036,1,0,1
2466,1129,661,275,0,0,0
1698,1325,690,466,2,0,0
1922,1228,592,506,1,0,0
1919,1611,713,455,0,0,0
2206,1275,659,315,0,0,0
1475,1404,979,837,0,0,0
2070,1478,765,539,3,0,1
1809,1117,851,785,0,0,2
2386,994,1023,582,1,0,0
2108,837,897,643,5,0,1
1630,1365,713,556,0,1,1
2147,1212,1166,736,0,0,1
1643,1369,519,447,1,0,2
1939,1248,691,505,0,0,0
2343,1156,1461,369,0,0,3
2301,1151,904,274,1,0,0
2414,1192,1058,507,0,0,0
1723,1014,862,752,2,2,6
1793,1131,897,731,3,1,1
