Season,anger,disgust,fear,joy,neutral,sadness,surprise
Season 1,0.16797735136835482,0.11324315822585719,0.0427807486631016,0.04183705567788613,0.4473104749921359,0.06417112299465241,0.12268008807801195
Season 2,0.16402657128257536,0.10577414409810935,0.0516096065406234,0.04062340316811446,0.4821154828819622,0.04649974450689831,0.10935104752171691
Season 3,0.14301707248810525,0.11754827875734676,0.0484186957738595,0.03806325216904562,0.48390708088441087,0.051217464315701094,0.11782815561153093
Season 4,0.15989553105049334,0.1094022054556007,0.048461984910040626,0.04352872896111434,0.4616947185142194,0.056006964596633776,0.12100986651189785
Season 5,0.14925864909390446,0.09686985172981878,0.048105436573311365,0.05074135090609555,0.47677100494233937,0.05930807248764415,0.11894563426688633
Season 6,0.16246498599439776,0.08893557422969188,0.04446778711484594,0.03676470588235294,0.49824929971988796,0.07177871148459383,0.09733893557422969
Season 7,0.15274365274365273,0.08230958230958231,0.053644553644553644,0.03521703521703522,0.5229320229320229,0.04217854217854218,0.11097461097461098
Season 8,0.18076398362892224,0.0688949522510232,0.03547066848567531,0.03956343792633015,0.5006821282401092,0.056616643929058665,0.11800818553888132
